 NM2_c2.M062X_6-311pGd_opt_GD3 symmetry = 1
 Using G3(MP2)-RAD molecular hlc value
 HLC = -0.55536700 Hartree 
59   59

 Thermochemistry was done at      298.15 (k) and 1(Atm)

 Total vibr frequencies                         = 93
 Imaginary frequencies                          =  0
 Low freqs (<300 cm^-1) with special treatment  =  0

 Scaling factors
 ZPVE =   1.0000
 TC   =   1.0000
 Svib =   1.0000

 Frequency         ZPVE(vi)            H(vi)            S(vi)
   17.8806           0.1069           2.3735          28.6882    HO
   18.5384           0.1109           2.3697          28.3880    HO
   49.9728           0.2989           2.1921          20.1605    HO
   53.7860           0.3217           2.1711          19.5523    HO
   62.2735           0.3725           2.1251          18.3419    HO
   73.0638           0.4370           2.0676          17.0250    HO
   93.1466           0.5571           1.9634          15.0326    HO
   97.3964           0.5826           1.9419          14.6681    HO
  133.9614           0.8013           1.7634          12.0850    HO
  137.8266           0.8244           1.7453          11.8568    HO
  164.4248           0.9835           1.6242          10.4528    HO
  187.3249           1.1205           1.5251           9.4313    HO
  200.2166           1.1976           1.4713           8.9166    HO
  231.8635           1.3869           1.3455           7.8010    HO
  237.4183           1.4201           1.3243           7.6239    HO
  239.3006           1.4313           1.3172           7.5650    HO
  256.4778           1.5341           1.2535           7.0527    HO
  314.8572           1.8833           1.0552           5.5927    HO
  335.8652           2.0089           0.9903           5.1535    HO
  341.2166           2.0409           0.9743           5.0478    HO
  352.0741           2.1059           0.9425           4.8405    HO
  360.6275           2.1570           0.9181           4.6836    HO
  424.0935           2.5366           0.7526           3.6743    HO
  427.3328           2.5560           0.7449           3.6293    HO
  472.1585           2.8241           0.6446           3.0607    HO
  483.1299           2.8898           0.6219           2.9358    HO
  503.9170           3.0141           0.5808           2.7129    HO
  517.3104           3.0942           0.5556           2.5783    HO
  540.5414           3.2332           0.5141           2.3603    HO
  575.9295           3.4448           0.4561           2.0626    HO
  607.8946           3.6360           0.4087           1.8254    HO
  624.8032           3.7372           0.3854           1.7109    HO
  656.0475           3.9240           0.3456           1.5174    HO
  668.1705           3.9966           0.3311           1.4482    HO
  678.1245           4.0561           0.3197           1.3936    HO
  755.5929           4.5195           0.2421           1.0319    HO
  762.0500           4.5581           0.2365           1.0062    HO
  768.2806           4.5953           0.2312           0.9821    HO
  776.1238           4.6423           0.2247           0.9524    HO
  784.9318           4.6949           0.2176           0.9201    HO
  821.9147           4.9161           0.1899           0.7958    HO
  879.9872           5.2635           0.1529           0.6326    HO
  903.6246           5.4049           0.1398           0.5759    HO
  904.1415           5.4080           0.1396           0.5747    HO
  918.2898           5.4926           0.1323           0.5432    HO
  947.9944           5.6703           0.1181           0.4824    HO
 1011.5865           6.0506           0.0925           0.3735    HO
 1047.6052           6.2661           0.0804           0.3228    HO
 1051.4432           6.2890           0.0792           0.3179    HO
 1077.6561           6.4458           0.0715           0.2857    HO
 1131.7509           6.7694           0.0577           0.2291    HO
 1149.4800           6.8754           0.0538           0.2130    HO
 1165.4057           6.9707           0.0505           0.1995    HO
 1172.1985           7.0113           0.0492           0.1940    HO
 1182.0533           7.0703           0.0473           0.1863    HO
 1194.6741           7.1457           0.0449           0.1769    HO
 1217.8411           7.2843           0.0410           0.1607    HO
 1231.6906           7.3672           0.0387           0.1518    HO
 1233.6507           7.3789           0.0384           0.1505    HO
 1244.5822           7.4443           0.0368           0.1439    HO
 1283.2314           7.6754           0.0315           0.1225    HO
 1292.3644           7.7301           0.0303           0.1179    HO
 1323.9986           7.9193           0.0266           0.1034    HO
 1334.3340           7.9811           0.0255           0.0990    HO
 1346.0266           8.0510           0.0244           0.0943    HO
 1350.4209           8.0773           0.0239           0.0925    HO
 1358.1845           8.1238           0.0232           0.0896    HO
 1375.6721           8.2284           0.0216           0.0832    HO
 1424.8154           8.5223           0.0176           0.0677    HO
 1432.1916           8.5664           0.0171           0.0656    HO
 1455.3606           8.7050           0.0155           0.0595    HO
 1509.5218           9.0290           0.0124           0.0473    HO
 1522.1282           9.1044           0.0118           0.0448    HO
 1523.8732           9.1148           0.0117           0.0445    HO
 1537.5473           9.1966           0.0110           0.0420    HO
 1551.4227           9.2796           0.0104           0.0396    HO
 1580.6450           9.4544           0.0092           0.0349    HO
 1587.4315           9.4950           0.0090           0.0339    HO
 1665.4858           9.9618           0.0064           0.0243    HO
 1696.7970          10.1491           0.0056           0.0212    HO
 1821.9698          10.8978           0.0033           0.0124    HO
 3053.1889          18.2621           0.0000           0.0001    HO
 3056.5750          18.2824           0.0000           0.0001    HO
 3072.5629          18.3780           0.0000           0.0000    HO
 3099.4974          18.5391           0.0000           0.0000    HO
 3135.2067          18.7527           0.0000           0.0000    HO
 3143.8788          18.8046           0.0000           0.0000    HO
 3150.7369          18.8456           0.0000           0.0000    HO
 3225.1859          19.2909           0.0000           0.0000    HO
 3245.6042          19.4130           0.0000           0.0000    HO
 3289.8523          19.6777           0.0000           0.0000    HO
 3638.4935          21.7630           0.0000           0.0000    HO
 3651.2082          21.8391           0.0000           0.0000    HO

 ZPVE in kJ/mol                 =       635.2711

     Thermal correction in kJ/mol

 TC Harmonic oscillator         =        55.1865

     Entropies in J/(mol K)

 S electronic                   =         0.0000
 S translational                =       180.4541
 S rotational                   =       146.4083
 S vibrational HO               =       313.8124

 Stotal Harmonic oscillator     =       640.6748
 Hcorr                          =       690.4576
 Gcorr                          =       499.4404

