 NM3.M062X_6-311pGd_opt_GD3 symmetry = 1
 Using G3(MP2)-RAD molecular hlc value
 HLC = -0.47065000 Hartree 
50   50

 Thermochemistry was done at      298.15 (k) and 1(Atm)

 Total vibr frequencies                         = 84
 Imaginary frequencies                          =  0
 Low freqs (<300 cm^-1) with special treatment  =  0

 Scaling factors
 ZPVE =   1.0000
 TC   =   1.0000
 Svib =   1.0000

 Frequency         ZPVE(vi)            H(vi)            S(vi)
   14.8774           0.0890           2.3910          30.2162    HO
   18.5287           0.1108           2.3698          28.3924    HO
   22.7297           0.1360           2.3455          26.6947    HO
   51.6545           0.3090           2.1828          19.8866    HO
   59.6936           0.3570           2.1390          18.6912    HO
   77.2739           0.4622           2.0454          16.5643    HO
  115.1023           0.6885           1.8539          13.3093    HO
  119.5254           0.7149           1.8324          13.0040    HO
  153.9520           0.9208           1.6711          10.9738    HO
  184.2600           1.1021           1.5381           9.5597    HO
  195.2598           1.1679           1.4918           9.1099    HO
  223.9569           1.3396           1.3761           8.0620    HO
  237.4976           1.4206           1.3240           7.6214    HO
  242.4860           1.4504           1.3052           7.4666    HO
  252.0108           1.5074           1.2698           7.1817    HO
  329.9147           1.9733           1.0084           5.2739    HO
  335.5938           2.0073           0.9912           5.1590    HO
  341.4415           2.0423           0.9737           5.0434    HO
  345.4346           2.0662           0.9619           4.9661    HO
  372.8387           2.2301           0.8841           4.4689    HO
  447.7260           2.6780           0.6977           3.3584    HO
  452.0383           2.7038           0.6881           3.3038    HO
  481.9359           2.8826           0.6244           2.9491    HO
  502.1401           3.0035           0.5842           2.7313    HO
  518.2964           3.1001           0.5538           2.5687    HO
  576.1709           3.4463           0.4557           2.0607    HO
  601.7147           3.5991           0.4175           1.8691    HO
  651.1522           3.8948           0.3516           1.5462    HO
  655.9129           3.9232           0.3457           1.5182    HO
  713.5504           4.2680           0.2818           1.2152    HO
  717.8906           4.2939           0.2774           1.1949    HO
  755.6624           4.5199           0.2421           1.0316    HO
  773.3200           4.6255           0.2270           0.9629    HO
  803.9316           4.8086           0.2029           0.8541    HO
  858.6537           5.1359           0.1656           0.6884    HO
  878.5632           5.2550           0.1537           0.6362    HO
  890.6176           5.3271           0.1469           0.6064    HO
  903.9275           5.4067           0.1397           0.5752    HO
  927.5837           5.5482           0.1277           0.5234    HO
  939.7641           5.6210           0.1219           0.4985    HO
  969.8818           5.8012           0.1086           0.4418    HO
 1013.1527           6.0600           0.0919           0.3712    HO
 1048.1521           6.2693           0.0802           0.3221    HO
 1079.3182           6.4558           0.0710           0.2838    HO
 1139.2141           6.8140           0.0561           0.2222    HO
 1147.4246           6.8631           0.0543           0.2148    HO
 1159.1684           6.9334           0.0518           0.2047    HO
 1166.1028           6.9749           0.0504           0.1989    HO
 1181.6016           7.0676           0.0474           0.1866    HO
 1196.7176           7.1580           0.0446           0.1754    HO
 1232.6931           7.3731           0.0386           0.1511    HO
 1237.1791           7.4000           0.0379           0.1483    HO
 1273.3408           7.6163           0.0327           0.1277    HO
 1289.9597           7.7157           0.0306           0.1191    HO
 1302.3386           7.7897           0.0291           0.1131    HO
 1332.7020           7.9713           0.0257           0.0997    HO
 1344.5139           8.0420           0.0245           0.0949    HO
 1350.2996           8.0766           0.0239           0.0926    HO
 1377.8609           8.2414           0.0214           0.0825    HO
 1425.1418           8.5242           0.0176           0.0676    HO
 1432.9676           8.5711           0.0170           0.0654    HO
 1478.8983           8.8458           0.0141           0.0538    HO
 1509.3994           9.0282           0.0124           0.0473    HO
 1515.2885           9.0634           0.0121           0.0461    HO
 1523.1261           9.1103           0.0117           0.0446    HO
 1524.0916           9.1161           0.0117           0.0445    HO
 1536.8851           9.1926           0.0111           0.0421    HO
 1547.8206           9.2580           0.0106           0.0402    HO
 1596.5648           9.5496           0.0086           0.0326    HO
 1669.5149           9.9859           0.0063           0.0239    HO
 1686.6372          10.0883           0.0059           0.0222    HO
 1822.9567          10.9037           0.0033           0.0123    HO
 3052.2132          18.2563           0.0000           0.0001    HO
 3055.9132          18.2784           0.0000           0.0001    HO
 3072.1383          18.3755           0.0000           0.0000    HO
 3099.7385          18.5406           0.0000           0.0000    HO
 3134.7920          18.7502           0.0000           0.0000    HO
 3143.4944          18.8023           0.0000           0.0000    HO
 3150.3626          18.8434           0.0000           0.0000    HO
 3213.3265          19.2200           0.0000           0.0000    HO
 3241.3970          19.3879           0.0000           0.0000    HO
 3290.2552          19.6801           0.0000           0.0000    HO
 3634.7794          21.7408           0.0000           0.0000    HO
 3653.1274          21.8506           0.0000           0.0000    HO

 ZPVE in kJ/mol                 =       595.7231

     Thermal correction in kJ/mol

 TC Harmonic oscillator         =        49.7396

     Entropies in J/(mol K)

 S electronic                   =         0.0000
 S translational                =       179.0241
 S rotational                   =       145.2443
 S vibrational HO               =       286.5311

 Stotal Harmonic oscillator     =       610.7995
 Hcorr                          =       645.4627
 Gcorr                          =       463.3528

